"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"190","Afghanistan",2020-09-22,245,39096,22,1445,1,32576,0,5075,100.4,0.1,13,3.7,0,179,169
"270","Albania",2020-09-22,245,12666,131,367,3,7042,47,5257,440.1,4.6,182.7,12.8,0.1,183,178
"482","Algeria",2020-09-22,245,50214,191,1689,10,35307,127,13218,114.5,0.4,30.1,3.9,0,185,186
"723","Andorra",2020-09-22,245,1681,0,53,0,1199,0,429,2183.1,0,557.1,68.8,0,184,175
"891","Angola",2020-09-22,245,4236,119,155,1,1462,13,2619,12.9,0.4,8,0.5,0,104,92
"1162","Antigua and Barbuda",2020-09-22,245,96,0,3,0,92,0,1,98,0,1,3.1,0,0,0
"1380","Argentina",2020-09-22,245,652174,12027,13952,470,517228,8665,120994,1443,26.6,267.7,30.9,1,186,179
"1487","Armenia",2020-09-22,245,47667,115,938,2,42676,39,4053,1608.7,3.9,136.8,31.7,0.1,187,166
"1733","Australia",2020-09-22,245,26972,30,859,5,24329,174,1784,105.8,0.1,7,3.4,0,196,180
"2039","Austria",2020-09-22,245,39303,645,771,4,30312,796,8220,436.4,7.2,91.3,8.6,0,198,184
"2120","Azerbaijan",2020-09-22,245,39378,98,578,2,36949,113,1851,388.4,1,18.3,5.7,0,180,165
"2352","Bahrain",2020-09-22,245,66402,650,227,3,59367,741,6808,3901.4,38.2,400,13.3,0.2,196,132
"2679","Bangladesh",2020-09-22,245,352178,1557,5007,28,260790,2073,86381,213.8,0.9,52.5,3,0,169,169
"2801","Barbados",2020-09-22,245,189,0,7,0,173,0,9,65.9,0,3.1,2.4,0,73,0
"2880","Belarus",2020-09-22,245,76104,206,791,6,73386,85,1927,805.4,2.2,20.4,8.4,0.1,176,169
"3128","Belgium",2020-09-22,245,105226,1834,9955,5,19039,62,76232,907.9,15.8,657.7,85.9,0,200,189
"3344","Belize",2020-09-22,245,1635,0,21,0,967,0,647,410.8,0,162.6,5.3,0,47,29
"3606","Benin",2020-09-22,245,2294,0,40,0,1954,0,300,18.9,0,2.5,0.3,0,138,96
"3760","Bhutan",2020-09-22,245,261,0,0,0,195,1,66,33.8,0,8.5,0,0,54,0
"3990","Bolivia",2020-09-22,245,131453,467,7693,39,90853,613,32907,1126.1,4,281.9,65.9,0.3,175,171
"4264","Bosnia and Herzegovina",2020-09-22,245,25737,216,778,8,18359,250,6600,784.4,6.6,201.2,23.7,0.2,184,176
"4385","Botswana",2020-09-22,245,2567,0,13,0,624,0,1930,109.1,0,82.1,0.6,0,85,12
"4519","Brazil",2020-09-22,245,4591364,33324,138105,833,4016831,23399,436428,2160,15.7,205.3,65,0.4,193,186
"4695","Brunei",2020-09-22,245,145,0,3,0,142,0,0,33.2,0,0,0.7,0,182,0
"5030","Bulgaria",2020-09-22,245,19123,109,767,2,13748,21,4608,275.2,1.6,66.3,11,0,186,174
"5213","Burkina Faso",2020-09-22,245,1907,11,56,0,1252,63,599,9.1,0.1,2.9,0.3,0,182,178
"5288","Burma",2020-09-22,245,6959,488,116,16,1951,506,4892,12.8,0.9,9,0.2,0,156,14
"5626","Burundi",2020-09-22,245,474,0,1,0,462,0,11,4,0,0.1,0,0,98,0
"5775","Cambodia",2020-09-22,245,275,0,0,0,274,0,1,1.6,0,0,0,0,177,0
"5981","Cameroon",2020-09-22,245,20598,0,416,0,19124,0,1058,77.6,0,4,1.6,0,177,167
"6107","Canada",2020-09-22,245,148855,1272,9286,7,128890,1206,10679,394.4,3.4,28.3,24.6,0,195,186
"6422","Cape Verde",2020-09-22,245,5337,56,52,0,4742,68,543,959.9,10.1,97.7,9.4,0,149,88
"6582","Central African Republic",2020-09-22,245,4802,16,62,0,1830,0,2910,99.4,0.3,60.2,1.3,0,137,98
"6746","Chad",2020-09-22,245,1155,2,81,0,967,0,107,7,0,0.7,0.5,0,143,143
"6981","Chile",2020-09-22,245,448523,1055,12321,23,423176,2065,13026,2346.3,5.5,68.1,64.5,0.1,191,175
"7280","Colombia",2020-09-22,245,777537,7102,24397,0,640900,0,112240,1528.1,14,220.6,47.9,0,188,177
"7412","Comoros",2020-09-22,245,470,0,7,0,453,3,10,54,0,1.1,0.8,0,115,0
"7575","Costa Rica",2020-09-22,245,66689,1087,760,15,25706,579,40223,1309.2,21.3,789.6,14.9,0.3,185,129
"7804","Cote d'Ivoire",2020-09-22,245,19343,16,120,0,18682,52,541,73.3,0.1,2.1,0.5,0,179,154
"7976","Croatia",2020-09-22,245,15136,144,255,2,12987,250,1894,368.7,3.5,46.1,6.2,0,187,171
"8125","Cuba",2020-09-22,245,5222,81,117,1,4506,44,599,46.1,0.7,5.3,1,0,178,168
